[3149, 8, 3] [-47, -67]
[3153, 8, 3] [-3, -1051]
[3161, 4, 2] [29, 109]
[3173, 8, 3] [-19, -167]
[3176, 8, 2] [8, 397]
[3189, 8, 3] [-3, -1063]
[3193, 8, 3] [-31, -103]
[3197, 8, 3] [-23, -139]
[3205, 4, 2] [5, 641]
[3208, 4, 2] [8, 401]
[3233, 8, 2] [53, 61]
[3241, 8, 3] [-7, -463]
[3244, 8, 3] [-4, -811]
[3261, 8, 3] [-3, -1087]
[3265, 8, 2] [5, 653]
[3269, 8, 3] [-7, -467]
[3272, 4, 2] [8, 409]
[3273, 8, 3] [-3, -1091]
[3277, 8, 2] [29, 113]
[3281, 8, 2] [17, 193]
[3292, 8, 3] [-4, -823]
[3293, 8, 2] [37, 89]
[3305, 4, 2] [5, 661]
[3308, 8, 3] [-4, -827]
[3309, 8, 3] [-3, -1103]
[3317, 8, 3] [-31, -107]
[3337, 8, 3] [-47, -71]
[3341, 4, 2] [13, 257]
[3349, 8, 2] [17, 197]
[3352, 8, 3] [-8, -419]
[3353, 8, 3] [-7, -479]
[3356, 8, 3] [-4, -839]
[3365, 8, 2] [5, 673]
[3368, 8, 2] [8, 421]
[3369, 8, 3] [-3, -1123]
[3377, 8, 3] [-11, -307]
[3385, 8, 2] [5, 677]
[3397, 8, 3] [-43, -79]
[3401, 8, 3] [-19, -179]
[3409, 8, 3] [-7, -487]
[3421, 8, 3] [-11, -311]
[3436, 8, 3] [-4, -859]
[3437, 8, 3] [-7, -491]
[3448, 8, 3] [-8, -431]
[3452, 8, 3] [-4, -863]
[3453, 8, 3] [-3, -1151]
[3464, 4, 2] [8, 433]
[3473, 8, 3] [-23, -151]
[3489, 8, 3] [-3, -1163]
[3493, 8, 3] [-7, -499]
[3497, 4, 2] [13, 269]
[3505, 4, 2] [5, 701]
[3512, 8, 3] [-8, -439]
[3513, 8, 3] [-3, -1171]
[3521, 8, 3] [-7, -503]
[3532, 8, 3] [-4, -883]
[3544, 8, 3] [-8, -443]
[3545, 4, 2] [5, 709]
[3548, 8, 3] [-4, -887]
[3561, 8, 3] [-3, -1187]
[3569, 8, 3] [-43, -83]
[3589, 8, 2] [37, 97]
[3592, 4, 2] [8, 449]
[3601, 4, 2] [13, 277]
[3628, 8, 3] [-4, -907]
[3629, 8, 3] [-19, -191]
[3641, 8, 3] [-11, -331]
[3644, 8, 3] [-4, -911]
[3649, 8, 2] [41, 89]
[3653, 8, 2] [13, 281]
[3656, 4, 2] [8, 457]
[3661, 8, 3] [-7, -523]
[3665, 8, 2] [5, 733]
[3669, 8, 3] [-3, -1223]
[3676, 8, 3] [-4, -919]
[3688, 8, 2] [8, 461]
[3693, 8, 3] [-3, -1231]
[3704, 8, 3] [-8, -463]
[3713, 8, 3] [-47, -79]
[3736, 8, 3] [-8, -467]
[3737, 4, 2] [37, 101]
[3749, 8, 3] [-23, -163]
[3777, 8, 3] [-3, -1259]
[3781, 8, 3] [-19, -199]
[3785, 8, 2] [5, 757]
[3788, 8, 3] [-4, -947]
[3805, 4, 2] [5, 761]
[3809, 8, 2] [13, 293]
[3817, 8, 3] [-11, -347]
[3829, 8, 3] [-7, -547]
[3832, 8, 3] [-8, -479]
[3837, 8, 3] [-3, -1279]
[3841, 8, 3] [-23, -167]
[3845, 4, 2] [5, 769]
[3849, 8, 3] [-3, -1283]
[3865, 8, 2] [5, 773]
[3868, 8, 3] [-4, -967]
[3869, 8, 2] [53, 73]
[3873, 8, 3] [-3, -1291]
[3884, 8, 3] [-4, -971]
[3893, 4, 2] [17, 229]
[3896, 8, 3] [-8, -487]
[3901, 8, 3] [-47, -83]
[3909, 8, 3] [-3, -1303]
[3921, 8, 3] [-3, -1307]
[3928, 8, 3] [-8, -491]
[3932, 8, 3] [-4, -983]
[3937, 8, 3] [-31, -127]
[3941, 8, 3] [-7, -563]
[3949, 8, 3] [-11, -359]
[3953, 8, 3] [-59, -67]
[3957, 8, 3] [-3, -1319]
[3961, 8, 2] [17, 233]
[3964, 8, 3] [-4, -991]
[3973, 8, 2] [29, 137]
[3977, 8, 2] [41, 97]
[3981, 8, 3] [-3, -1327]
[3985, 8, 2] [5, 797]
[3992, 8, 3] [-8, -499]
