[3836, 16, 11] [-4, -7, 137]
[3848, 8, 5] [8, 13, 37]
[3857, 16, 13] [-7, -19, 29]
[3880, 16, 10] [8, 5, 97]
[3905, 16, 11] [5, -11, -71]
[3912, 16, 11] [8, -3, -163]
[3913, 16, 13] [-7, 13, -43]
[3916, 16, 11] [-4, -11, 89]
[3944, 16, 10] [8, 17, 29]
[3945, 16, 11] [-3, 5, -263]
[3965, 16, 10] [5, 13, 61]
[3976, 16, 11] [8, -7, -71]
[3980, 16, 11] [-4, 5, -199]
[4008, 16, 13] [8, -3, -167]
[4012, 16, 11] [-4, 17, -59]
[4017, 16, 11] [-3, 13, -103]
[4028, 16, 13] [-4, -19, 53]
[4029, 16, 11] [-3, 17, -79]
[4040, 16, 10] [8, 5, 101]
[4044, 16, 11] [-4, -3, 337]
[4053, 16, 11] [-3, -7, 193]
[4065, 16, 13] [-3, 5, -271]
[4081, 16, 11] [-7, -11, 53]
[4085, 16, 13] [5, -19, -43]
[4088, 16, 13] [-8, -7, 73]
[4089, 16, 11] [-3, 29, -47]
[4108, 16, 11] [-4, 13, -79]
[4120, 16, 11] [-8, 5, -103]
[4136, 16, 13] [8, -11, -47]
[4137, 16, 13] [-3, -7, 197]
[4152, 16, 11] [-8, -3, 173]
[4161, 16, 11] [-3, -19, 73]
[4172, 16, 11] [-4, -7, 149]
[4173, 16, 11] [-3, 13, -107]
[4188, 16, 11] [-4, -3, 349]
[4209, 16, 13] [-3, -23, 61]
[4216, 16, 13] [-8, 17, -31]
[4220, 16, 11] [-4, 5, -211]
[4233, 16, 13] [-3, 17, -83]
[4236, 16, 13] [-4, -3, 353]
[4245, 16, 11] [-3, 5, -283]
[4264, 16, 10] [8, 13, 41]
[4268, 16, 11] [-4, -11, 97]
[4277, 16, 11] [-7, 13, -47]
[4280, 16, 11] [-8, 5, -107]
[4296, 16, 11] [8, -3, -179]
[4301, 16, 11] [-11, 17, -23]
[4316, 16, 13] [-4, 13, -83]
[4344, 16, 13] [-8, -3, 181]
[4345, 16, 11] [5, -11, -79]
[4360, 16, 10] [8, 5, 109]
[4396, 16, 13] [-4, -7, 157]
[4408, 16, 11] [-8, -19, 29]
[4424, 16, 11] [8, -7, -79]
[4433, 16, 11] [-11, 13, -31]
[4444, 16, 13] [-4, -11, 101]
[4445, 16, 11] [5, -7, -127]
[4460, 16, 13] [-4, 5, -223]
[4465, 16, 13] [5, -19, -47]
[4472, 16, 13] [-8, 13, -43]
[4476, 16, 11] [-4, -3, 373]
[4505, 16, 10] [5, 17, 53]
[4520, 16, 10] [8, 5, 113]
[4521, 16, 13] [-3, -11, 137]
[4540, 16, 13] [-4, 5, -227]
[4556, 16, 11] [-4, 17, -67]
[4565, 16, 13] [5, -11, -83]
[4584, 16, 13] [8, -3, -191]
[4585, 16, 13] [5, -7, -131]
[4588, 16, 13] [-4, -31, 37]
[4605, 16, 11] [-3, 5, -307]
[4632, 16, 11] [-8, -3, 193]
[4636, 16, 11] [-4, -19, 61]
[4648, 16, 13] [8, -7, -83]
[4664, 16, 13] [-8, -11, 53]
[4665, 16, 13] [-3, 5, -311]
[4668, 16, 13] [-4, -3, 389]
[4669, 16, 11] [-7, -23, 29]
[4697, 16, 11] [-7, -11, 61]
[4712, 16, 13] [8, -19, -31]
[4728, 16, 11] [-8, -3, 197]
[4745, 8, 5] [5, 13, 73]
[4764, 16, 11] [-4, -3, 397]
[4773, 16, 13] [-3, 37, -43]
[4776, 16, 13] [8, -3, -199]
[4780, 16, 11] [-4, 5, -239]
[4796, 16, 13] [-4, -11, 109]
[4809, 16, 13] [-3, -7, 229]
[4812, 16, 13] [-4, -3, 401]
[4828, 16, 13] [-4, 17, -71]
[4844, 16, 13] [-4, -7, 173]
[4865, 16, 13] [5, -7, -139]
[4876, 16, 13] [-4, -23, 53]
[4888, 16, 11] [-8, 13, -47]
[4893, 16, 13] [-3, -7, 233]
[4908, 16, 11] [-4, -3, 409]
[4917, 16, 11] [-3, -11, 149]
[4921, 16, 13] [-7, -19, 37]
[4929, 16, 11] [-3, -31, 53]
[4945, 16, 11] [5, -23, -43]
[4953, 16, 11] [-3, 13, -127]
[4965, 16, 13] [-3, 5, -331]
[4972, 16, 11] [-4, -11, 113]
[4984, 16, 13] [-8, -7, 89]
[4988, 16, 13] [-4, 29, -43]
[5020, 16, 11] [-4, 5, -251]
[5032, 16, 10] [8, 17, 37]
[5037, 16, 11] [-3, -23, 73]
[5052, 16, 11] [-4, -3, 421]
[5061, 16, 13] [-3, -7, 241]
[5064, 16, 11] [8, -3, -211]
[5068, 16, 13] [-4, -7, 181]
[5073, 16, 11] [-3, -19, 89]
[5080, 16, 11] [-8, 5, -127]
[5084, 16, 11] [-4, -31, 41]
[5109, 16, 11] [-3, 13, -131]
[5117, 16, 13] [-7, 17, -43]
[5133, 16, 13] [-3, 29, -59]
[5181, 16, 11] [-3, -11, 157]
[5185, 16, 10] [5, 17, 61]
[5192, 16, 11] [8, -11, -59]
[5196, 16, 11] [-4, -3, 433]
[5205, 16, 11] [-3, 5, -347]
[5217, 16, 11] [-3, 37, -47]
[5240, 16, 13] [-8, 5, -131]
[5253, 16, 13] [-3, 17, -103]
[5260, 16, 13] [-4, 5, -263]
[5285, 16, 13] [5, -7, -151]
[5289, 16, 13] [-3, 41, -43]
[5336, 16, 13] [-8, -23, 29]
[5352, 16, 13] [8, -3, -223]
[5356, 16, 11] [-4, 13, -103]
[5365, 16, 10] [5, 29, 37]
[5368, 16, 11] [-8, -11, 61]
[5369, 16, 11] [-7, 13, -59]
[5372, 16, 13] [-4, 17, -79]
[5385, 16, 13] [-3, 5, -359]
[5388, 16, 13] [-4, -3, 449]
[5397, 16, 11] [-3, -7, 257]
[5404, 16, 11] [-4, -7, 193]
[5405, 16, 11] [5, -23, -47]
[5420, 16, 11] [-4, 5, -271]
[5421, 16, 11] [-3, 13, -139]
[5432, 16, 13] [-8, -7, 97]
[5448, 16, 11] [8, -3, -227]
[5452, 16, 13] [-4, 29, -47]
[5453, 16, 11] [-7, -19, 41]
[5457, 16, 11] [-3, 17, -107]
[5480, 16, 10] [8, 5, 137]
[5484, 16, 11] [-4, -3, 457]
[5496, 16, 13] [-8, -3, 229]
[5505, 16, 11] [-3, 5, -367]
[5512, 16, 10] [8, 13, 53]
[5516, 16, 11] [-4, -7, 197]
[5529, 16, 13] [-3, -19, 97]
[5532, 16, 13] [-4, -3, 461]
[5548, 16, 11] [-4, -19, 73]
[5560, 16, 13] [-8, 5, -139]
[5564, 16, 11] [-4, 13, -107]
[5576, 16, 10] [8, 17, 41]
[5592, 16, 13] [-8, -3, 233]
[5593, 16, 13] [-7, 17, -47]
[5605, 16, 11] [5, -19, -59]
[5612, 16, 13] [-4, -23, 61]
[5621, 16, 11] [-7, -11, 73]
[5624, 16, 11] [-8, -19, 37]
[5644, 16, 11] [-4, 17, -83]
[5649, 16, 11] [-3, -7, 269]
[5656, 16, 11] [-8, -7, 101]
[5660, 16, 13] [-4, 5, -283]
[5665, 16, 13] [5, -11, -103]
[5673, 16, 13] [-3, -31, 61]
[5681, 16, 13] [13, -19, -23]
[5685, 16, 13] [-3, 5, -379]
[5704, 16, 11] [8, -23, -31]
[5705, 16, 11] [5, -7, -163]
[5709, 16, 11] [-3, -11, 173]
[5736, 16, 13] [8, -3, -239]
[5745, 16, 11] [-3, 5, -383]
[5757, 16, 13] [-3, -19, 101]
[5768, 16, 11] [8, -7, -103]
[5781, 16, 11] [-3, 41, -47]
[5784, 16, 11] [-8, -3, 241]
[5785, 16, 10] [5, 13, 89]
[5797, 16, 11] [-11, 17, -31]
[5817, 16, 11] [-3, -7, 277]
[5829, 16, 13] [-3, 29, -67]
[5845, 16, 11] [5, -7, -167]
[5848, 16, 11] [-8, 17, -43]
[5885, 16, 13] [5, -11, -107]
[5889, 16, 13] [-3, 13, -151]
[5896, 16, 11] [8, -11, -67]
[5901, 16, 13] [-3, -7, 281]
[5945, 16, 10] [5, 29, 41]
[5957, 16, 13] [-7, -23, 37]
[5960, 16, 10] [8, 5, 149]
[5973, 16, 11] [-3, -11, 181]
[5992, 16, 13] [8, -7, -107]
[6024, 16, 11] [8, -3, -251]
[6028, 16, 11] [-4, -11, 137]
[6040, 16, 13] [-8, 5, -151]
[6061, 16, 11] [-11, -19, 29]
[6097, 16, 11] [-7, 13, -67]
[6104, 16, 13] [-8, -7, 109]
[6108, 16, 13] [-4, -3, 509]
[6136, 16, 11] [-8, 13, -59]
[6140, 16, 13] [-4, 5, -307]
[6141, 16, 11] [-3, -23, 89]
[6149, 16, 13] [-11, 13, -43]
[6153, 16, 11] [-3, -7, 293]
[6168, 16, 13] [-8, -3, 257]
[6177, 16, 13] [-3, 29, -71]
[6205, 8, 5] [5, 17, 73]
[6213, 16, 13] [-3, -19, 109]
[6220, 16, 11] [-4, 5, -311]
[6232, 16, 13] [-8, -19, 41]
[6248, 16, 13] [8, -11, -71]
[6252, 16, 13] [-4, -3, 521]
[6265, 16, 13] [5, -7, -179]
[6280, 8, 5] [8, 5, 157]
[6285, 16, 13] [-3, 5, -419]
[6293, 16, 13] [-7, 29, -31]
[6305, 8, 5] [5, 13, 97]
[6312, 16, 13] [8, -3, -263]
[6328, 16, 11] [-8, -7, 113]
[6344, 16, 10] [8, 13, 61]
[6357, 16, 13] [-3, 13, -163]
[6364, 16, 13] [-4, 37, -43]
[6365, 16, 13] [5, -19, -67]
[6369, 16, 13] [-3, -11, 193]
[6392, 16, 11] [-8, 17, -47]
[6409, 16, 10] [13, 17, 29]
[6412, 16, 13] [-4, -7, 229]
[6424, 16, 13] [-8, -11, 73]
[6441, 16, 11] [-3, -19, 113]
[6456, 16, 11] [-8, -3, 269]
[6461, 16, 11] [-7, 13, -71]
[6465, 16, 13] [-3, 5, -431]
[6477, 16, 13] [-3, 17, -127]
[6492, 16, 11] [-4, -3, 541]
[6501, 16, 11] [-3, -11, 197]
[6504, 16, 13] [8, -3, -271]
[6513, 16, 13] [-3, 13, -167]
[6520, 16, 11] [-8, 5, -163]
[6524, 16, 11] [-4, -7, 233]
[6536, 16, 11] [8, -19, -43]
[6549, 16, 13] [-3, 37, -59]
[6556, 16, 13] [-4, -11, 149]
[6565, 16, 10] [5, 13, 101]
